id,candidate_id,candidate,developer,title,citation,year,matrix_row,matrix_column,phase,population,route,product_platform,key_finding,evidence_signal,actionability,verification_status,source_url,evidence_update_date,map_record_updated,tags
LYME-001,CAND-LB6V-VLA15,LB6V / PF-07307405 (formerly VLA15),Pfizer and Valneva,Pfizer and Valneva report topline Phase 3 VALOR results and planned regulatory submissions,"Pfizer press release, March 23, 2026",2026,Clinical efficacy,Company pipeline or press release,Phase 3,Individuals aged 5 years and older,IM,Recombinant protein / multivalent OspA subunit,Topline VALOR reporting states more than 70% efficacy in individuals aged 5+ and planned regulatory submissions; first pre-specified analysis did not meet the stated statistical criterion because fewer Lyme cases accrued than anticipated.,Most advanced human Lyme vaccine candidate; regulatory pathway is the key near-term watch item.,"Track FDA/EMA/other submissions, advisory committee materials, labeling, dosing schedule, and post-approval recommendation process.",manual source-backed,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-valneva-announce-lyme-disease-vaccine-candidate,2026-03-23,2026-06-08,VALOR; efficacy; Phase 3; regulatory submissions; OspA; age 5+
LYME-002,CAND-LB6V-VLA15,LB6V / PF-07307405 (formerly VLA15),Pfizer and Valneva,CDC Lyme disease vaccine page: no current vaccine; LB6V completed Phase 3; ACIP would develop recommendations if approved,"CDC, Lyme Disease Vaccine, April 28, 2026",2026,Regulatory and public health guidance,Government or regulator,Phase 3 completed / pre-submission awareness,Public; healthcare providers; potential future vaccine populations not yet recommended,IM,Recombinant protein / multivalent OspA subunit,CDC states that a Lyme disease vaccine is not currently available; it describes LB6V as having recently completed Phase 3 human trials and notes that ACIP would develop recommendations if FDA approval occurs.,Public health recommendation work is contingent on regulatory approval.,"Monitor CDC/ACIP agenda, FDA approvals, and public-facing education needs.",manual source-backed,https://www.cdc.gov/lyme/about/lyme-disease-vaccine.html,2026-04-28,2026-06-08,CDC; ACIP; no current vaccine; public health guidance; LB6V
LYME-003,CAND-LB6V-VLA15,LB6V / PF-07307405 (formerly VLA15),Pfizer and Valneva,ClinicalTrials.gov registry record for VALOR Phase 3 trial NCT05477524,ClinicalTrials.gov NCT05477524,2026,Clinical trial registry,ClinicalTrials.gov or registry,Phase 3,Healthy children and adults in North America and Europe; age 5+ per sponsor reporting,IM,6-valent OspA-based Lyme disease vaccine,"Registry record describes an efficacy, safety, tolerability, immunogenicity, and lot-consistency clinical trial of a 6-valent OspA-based Lyme vaccine for prevention of Lyme disease.",Primary registry anchor for trial design and status.,"Use registry fields for enrollment, sites, endpoints, arms, and last update in future automated refreshes.",manual source-backed,https://clinicaltrials.gov/study/NCT05477524,2026-03-23,2026-06-08,ClinicalTrials.gov; NCT05477524; VALOR; Phase 3; trial design
LYME-004,CAND-LB6V-VLA15,LB6V / PF-07307405 (formerly VLA15),Valneva and Pfizer,Valneva LB6V page summarizes Phase 3 efficacy signal and planned regulatory submissions,"Valneva R&D page, Lyme Disease — LB6V (VLA15)",2026,Candidate status,Company pipeline or press release,Phase 3 completed / regulatory submissions planned,Individuals aged 5 years and above per company summary,IM,Multivalent recombinant protein vaccine targeting six Borrelia OspA serotypes,"Valneva describes LB6V as the most advanced Lyme vaccine candidate and summarizes Phase 3 topline efficacy, tolerability, unmet statistical criterion in first analysis, and planned regulatory submissions.","Company R&D page is a high-priority status source, but should be cross-checked against regulators.","Monitor press releases, filings, and regulator pages for confirmation of submission/approval milestones.",manual source-backed,https://valneva.com/research-development/lyme-disease/,2026-03-23,2026-06-08,Valneva; Pfizer; LB6V; VLA15; OspA; regulatory
LYME-005,CAND-MOD-MRNA-1975-1982,mRNA-1975 and mRNA-1982,Moderna,Moderna pipeline lists Lyme disease vaccine programs mRNA-1975 and mRNA-1982 as Phase 2,"Moderna mRNA pipeline, as-of May 28, 2026",2026,Candidate status,Company pipeline or press release,Phase 2,Adults; next-phase population TBA in seed dashboard,IM,mRNA,Moderna's pipeline page lists both mRNA-1975 and mRNA-1982 under Lyme disease vaccine programs in Phase 2.,Moderna pipeline has advanced beyond the image's Phase 1/2 completion note.,"Monitor ClinicalTrials.gov and Moderna pipeline updates for Phase 2 design, endpoints, sites, and dose selection.",manual source-backed,https://www.modernatx.com/research/product-pipeline,2026-05-28,2026-06-08,Moderna; mRNA-1975; mRNA-1982; Phase 2; mRNA
LYME-006,CAND-MOD-MRNA-1975-1982,mRNA-1975 and mRNA-1982,"ModernaTX, Inc.",ClinicalTrials.gov registry record for mRNA-1975/mRNA-1982 Phase 1/2 trial NCT05975099,ClinicalTrials.gov NCT05975099,2025,Clinical trial registry,ClinicalTrials.gov or registry,Phase 1/2,Adults 18 through 70 years of age,IM,mRNA,Registry record describes evaluation of safety and immunogenicity of heptavalent mRNA-1975 and monovalent mRNA-1982 against Lyme disease in adult participants.,Registry anchor for Moderna's initial human Lyme vaccine program.,"Track posted results, peer-reviewed outputs, and links to later Phase 2 trials.",manual source-backed,https://clinicaltrials.gov/study/NCT05975099,2025-08-21,2026-06-08,ClinicalTrials.gov; NCT05975099; Phase 1/2; adult; mRNA; safety; immunogenicity
LYME-007,CAND-MOD-MRNA-1975-1982,mRNA-1975 and mRNA-1982,Moderna,IDWeek/Open Forum Infectious Diseases abstract reports interim Phase 1/2 safety and immunogenicity data,"Open Forum Infectious Diseases supplement abstract, 2026",2026,Safety and tolerability,Peer-reviewed publication or preprint,Phase 1/2,Healthy adults 18 to 70 years of age,IM,mRNA,"Interim analysis abstract reported generally safe profiles with dose-dependent reactogenicity and immunogenicity after a 3-injection series, informing future trials.",Early human safety/immunogenicity signal; detailed peer-reviewed publication/results posting still a watch item.,"Monitor full results, dose selection, product selection, and adverse event details in subsequent publications or registry updates.",manual source-backed,https://academic.oup.com/ofid/article/13/Supplement_1/ofaf695.1670/8421524,2026-01-01,2026-06-08,IDWeek; safety; immunogenicity; reactogenicity; mRNA-1975; mRNA-1982
LYME-008,CAND-MOD-MRNA-1975-1982,mRNA-1975 and mRNA-1982,Moderna,IDWeek/Open Forum Infectious Diseases abstract reports immunogenicity signal for mRNA Lyme candidates,"Open Forum Infectious Diseases supplement abstract, 2026",2026,Immunogenicity,Peer-reviewed publication or preprint,Phase 1/2,Healthy adults 18 to 70 years of age,IM,mRNA,"The abstract reports dose-dependent immunogenicity increasing with successive injections, supporting follow-on clinical development planning.",Candidate-selection and dose-regimen decisions are central evidence gaps.,Add antigen-specific immune endpoints and dose arms when full data are available.,manual source-backed,https://academic.oup.com/ofid/article/13/Supplement_1/ofaf695.1670/8421524,2026-01-01,2026-06-08,immunogenicity; dose response; Phase 1/2; mRNA; OspA antigens
LYME-009,CAND-BN-LYME,Bavarian Nordic Lyme disease vaccine candidate,Bavarian Nordic,Bavarian Nordic introduces early-stage Lyme disease vaccine program with clinical trials originally planned for 2026,Bavarian Nordic 2024 Annual Report / March 2025 materials,2025,Candidate status,Company pipeline or press release,Pre-clinical / planned Phase 1,TBA,TBA,TBA,Company materials introduced Lyme disease as a new early-stage vaccine program and described progress toward clinical trials in 2026.,Seed status aligned with the funnelgram image but superseded by later 2026 update.,Keep as provenance; do not use as current status without the Q1 2026 update record.,manual source-backed historical status,https://www.bavarian-nordic.com/investor/news/news.aspx?news=7064,2025-03-05,2026-06-08,Bavarian Nordic; early stage; planned 2026; historical status; superseded
LYME-010,CAND-BN-LYME,Bavarian Nordic Lyme disease vaccine candidate,Bavarian Nordic,Bavarian Nordic Q1 2026 update moves Lyme early-stage clinical development expectation to 2027,"Bavarian Nordic Q1 2026 report, May 13, 2026",2026,Candidate status,Company pipeline or press release,Pre-clinical / expected clinical development 2027,TBA,TBA,TBA,Bavarian Nordic's Q1 2026 materials state that Lyme and EBV early-stage assets are now expected to enter clinical development in 2027.,Important discrepancy vs. the seed image and older 2025 materials.,Use this as current dashboard status until newer company or registry evidence appears.,manual source-backed,https://www.bavarian-nordic.com/media/382845/2026-q1-en.pdf,2026-05-13,2026-06-08,Bavarian Nordic; Q1 2026; 2027; timeline change; preclinical
